Datum,Hazai csapat,Vendeg csapat,Haza csapat eredmeny,Vendeg csapat eredmeny,Bajnoksag
12/23/2022,Philippines,Brunei,5,1,AFF Championship
12/23/2022,Indonesia,Cambodia,2,1,AFF Championship
12/24/2022,Singapore,Myanmar,3,2,AFF Championship
12/24/2022,Malaysia,Laos,5,0,AFF Championship
12/26/2022,Brunei,Indonesia,0,7,AFF Championship
12/26/2022,Thailand,Philippines,4,0,AFF Championship
12/27/2022,Laos,Singapore,0,2,AFF Championship
12/27/2022,Vietnam,Malaysia,3,0,AFF Championship
12/29/2022,Cambodia,Brunei,5,1,AFF Championship
12/29/2022,Indonesia,Thailand,1,1,AFF Championship
12/30/2022,Myanmar,Laos,2,2,AFF Championship
12/30/2022,Singapore,Vietnam,0,0,AFF Championship
1/2/2023,Thailand,Cambodia,3,1,AFF Championship
1/2/2023,Philippines,Indonesia,1,2,AFF Championship
1/3/2023,Vietnam,Myanmar,3,0,AFF Championship
1/3/2023,Malaysia,Singapore,4,1,AFF Championship
1/6/2023,Iraq,Oman,0,0,Gulf Cup
1/6/2023,Yemen,Saudi Arabia,0,2,Gulf Cup
1/6/2023,Indonesia,Vietnam,0,0,AFF Championship
1/7/2023,Bahrain,United Arab Emirates,2,1,Gulf Cup
1/7/2023,Kuwait,Qatar,0,2,Gulf Cup
1/7/2023,Malaysia,Thailand,1,0,AFF Championship
1/9/2023,Oman,Yemen,3,2,Gulf Cup
1/9/2023,Iraq,Saudi Arabia,2,0,Gulf Cup
1/9/2023,Vietnam,Indonesia,2,0,AFF Championship
1/10/2023,United Arab Emirates,Kuwait,0,1,Gulf Cup
1/10/2023,Qatar,Bahrain,1,2,Gulf Cup
1/10/2023,Thailand,Malaysia,3,0,AFF Championship
1/12/2023,Iraq,Yemen,5,0,Gulf Cup
1/12/2023,Saudi Arabia,Oman,1,2,Gulf Cup
1/13/2023,Bahrain,Kuwait,1,1,Gulf Cup
1/13/2023,Qatar,United Arab Emirates,1,1,Gulf Cup
1/13/2023,Vietnam,Thailand,2,2,AFF Championship
1/16/2023,Iraq,Qatar,2,1,Gulf Cup
1/16/2023,Bahrain,Oman,0,1,Gulf Cup
1/16/2023,Thailand,Vietnam,1,0,AFF Championship
1/19/2023,Iraq,Oman,3,2,Gulf Cup
3/22/2023,India,Myanmar,1,0,Tri Nation Tournament
3/22/2023,Nepal,Laos,2,0,Tri Nation Tournament
3/22/2023,Sierra Leone,São Tomé and Príncipe,2,2,African Cup of Nations qualification
3/22/2023,Benin,Rwanda,1,1,African Cup of Nations qualification
3/23/2023,Madagascar,Central African Republic,0,3,African Cup of Nations qualification
3/23/2023,Ghana,Angola,1,0,African Cup of Nations qualification
3/23/2023,Algeria,Niger,2,1,African Cup of Nations qualification
3/23/2023,Congo,South Sudan,1,2,African Cup of Nations qualification
3/23/2023,Zambia,Lesotho,3,1,African Cup of Nations qualification
3/23/2023,Gabon,Sudan,1,0,African Cup of Nations qualification
3/23/2023,Italy,England,1,2,UEFA Euro qualification
3/23/2023,North Macedonia,Malta,2,1,UEFA Euro qualification
3/23/2023,Denmark,Finland,3,1,UEFA Euro qualification
3/23/2023,San Marino,Northern Ireland,0,2,UEFA Euro qualification
3/23/2023,Kazakhstan,Slovenia,1,2,UEFA Euro qualification
3/23/2023,Portugal,Liechtenstein,4,0,UEFA Euro qualification
3/23/2023,Bosnia and Herzegovina,Iceland,3,0,UEFA Euro qualification
3/23/2023,Slovakia,Luxembourg,0,0,UEFA Euro qualification
3/23/2023,Suriname,Mexico,0,2,CONCACAF Nations League
3/23/2023,Barbados,Cuba,0,1,CONCACAF Nations League
3/23/2023,Guadeloupe,Antigua and Barbuda,0,1,CONCACAF Nations League
3/23/2023,French Guiana,Dominican Republic,1,1,CONCACAF Nations League
3/23/2023,Saint Martin,Saint Kitts and Nevis,1,3,CONCACAF Nations League
3/23/2023,British Virgin Islands,Puerto Rico,1,3,CONCACAF Nations League
3/24/2023,Nigeria,Guinea-Bissau,0,1,African Cup of Nations qualification
3/24/2023,Cape Verde,Eswatini,0,0,African Cup of Nations qualification
3/24/2023,Burkina Faso,Togo,1,0,African Cup of Nations qualification
3/24/2023,Cameroon,Namibia,1,1,African Cup of Nations qualification
3/24/2023,Guinea,Ethiopia,2,0,African Cup of Nations qualification
3/24/2023,Egypt,Malawi,2,0,African Cup of Nations qualification
3/24/2023,Uganda,Tanzania,0,1,African Cup of Nations qualification
3/24/2023,Mali,Gambia,2,0,African Cup of Nations qualification
3/24/2023,Ivory Coast,Comoros,3,1,African Cup of Nations qualification
3/24/2023,DR Congo,Mauritania,3,1,African Cup of Nations qualification
3/24/2023,Equatorial Guinea,Botswana,2,0,African Cup of Nations qualification
3/24/2023,Tunisia,Libya,3,0,African Cup of Nations qualification
3/24/2023,South Africa,Liberia,2,2,African Cup of Nations qualification
3/24/2023,Senegal,Mozambique,5,1,African Cup of Nations qualification
3/24/2023,Gibraltar,Greece,0,3,UEFA Euro qualification
3/24/2023,France,Netherlands,4,0,UEFA Euro qualification
3/24/2023,Czech Republic,Poland,3,1,UEFA Euro qualification
3/24/2023,Moldova,Faroe Islands,1,1,UEFA Euro qualification
3/24/2023,Austria,Azerbaijan,4,1,UEFA Euro qualification
3/24/2023,Sweden,Belgium,0,3,UEFA Euro qualification
3/24/2023,Bulgaria,Montenegro,0,1,UEFA Euro qualification
3/24/2023,Serbia,Lithuania,2,0,UEFA Euro qualification
3/24/2023,Grenada,United States,1,7,CONCACAF Nations League
3/24/2023,Bahamas,Trinidad and Tobago,0,3,CONCACAF Nations League
3/24/2023,Nicaragua,Saint Vincent and the Grenadines,4,1,CONCACAF Nations League
3/24/2023,Belize,Guatemala,1,2,CONCACAF Nations League
3/24/2023,Anguilla,Saint Lucia,1,2,CONCACAF Nations League
3/25/2023,Bhutan,Laos,1,2,Tri Nation Tournament
3/25/2023,Myanmar,Kyrgyzstan,1,1,Tri Nation Tournament
3/25/2023,Scotland,Cyprus,3,0,UEFA Euro qualification
3/25/2023,Spain,Norway,3,0,UEFA Euro qualification
3/25/2023,Croatia,Wales,1,1,UEFA Euro qualification
3/25/2023,Armenia,Turkey,1,2,UEFA Euro qualification
3/25/2023,Belarus,Switzerland,0,5,UEFA Euro qualification
3/25/2023,Israel,Kosovo,1,1,UEFA Euro qualification
3/25/2023,Andorra,Romania,0,2,UEFA Euro qualification
3/25/2023,Martinique,Costa Rica,1,2,CONCACAF Nations League
3/25/2023,Curaçao,Canada,0,2,CONCACAF Nations League
3/25/2023,Bermuda,Guyana,0,2,CONCACAF Nations League
3/25/2023,Montserrat,Haiti,0,4,CONCACAF Nations League
3/25/2023,Sint Maarten,Bonaire,6,1,CONCACAF Nations League
3/25/2023,Turks and Caicos Islands,United States Virgin Islands,1,0,CONCACAF Nations League
3/26/2023,São Tomé and Príncipe,Sierra Leone,0,2,African Cup of Nations qualification
3/26/2023,Lesotho,Zambia,0,2,African Cup of Nations qualification
3/26/2023,England,Ukraine,2,0,UEFA Euro qualification
3/26/2023,Malta,Italy,0,2,UEFA Euro qualification
3/26/2023,Slovenia,San Marino,2,0,UEFA Euro qualification
3/26/2023,Kazakhstan,Denmark,3,2,UEFA Euro qualification
3/26/2023,Northern Ireland,Finland,0,1,UEFA Euro qualification
3/26/2023,Liechtenstein,Iceland,0,7,UEFA Euro qualification
3/26/2023,Luxembourg,Portugal,0,6,UEFA Euro qualification
3/26/2023,Slovakia,Bosnia and Herzegovina,2,0,UEFA Euro qualification
3/26/2023,Mexico,Jamaica,2,2,CONCACAF Nations League
3/26/2023,Antigua and Barbuda,Barbados,1,2,CONCACAF Nations League
3/26/2023,Cuba,Guadeloupe,1,0,CONCACAF Nations League
3/26/2023,Puerto Rico,Cayman Islands,5,1,CONCACAF Nations League
3/27/2023,Guinea-Bissau,Nigeria,0,1,African Cup of Nations qualification
3/27/2023,Ethiopia,Guinea,2,3,African Cup of Nations qualification
3/27/2023,Central African Republic,Madagascar,2,0,African Cup of Nations qualification
3/27/2023,Angola,Ghana,1,1,African Cup of Nations qualification
3/27/2023,Niger,Algeria,0,1,African Cup of Nations qualification
3/27/2023,South Sudan,Congo,0,1,African Cup of Nations qualification
3/27/2023,Sudan,Gabon,1,0,African Cup of Nations qualification
3/27/2023,Republic of Ireland,France,0,1,UEFA Euro qualification
3/27/2023,Netherlands,Gibraltar,3,0,UEFA Euro qualification
3/27/2023,Poland,Albania,1,0,UEFA Euro qualification
3/27/2023,Moldova,Czech Republic,0,0,UEFA Euro qualification
3/27/2023,Austria,Estonia,2,1,UEFA Euro qualification
3/27/2023,Sweden,Azerbaijan,5,0,UEFA Euro qualification
3/27/2023,Hungary,Bulgaria,3,0,UEFA Euro qualification
3/27/2023,Montenegro,Serbia,0,2,UEFA Euro qualification
3/27/2023,United States,El Salvador,1,0,CONCACAF Nations League
3/27/2023,Saint Vincent and the Grenadines,Bahamas,1,1,CONCACAF Nations League
3/27/2023,Trinidad and Tobago,Nicaragua,1,1,CONCACAF Nations League
3/27/2023,Dominican Republic,Belize,2,0,CONCACAF Nations League
3/27/2023,Guatemala,French Guiana,4,0,CONCACAF Nations League
3/27/2023,Saint Kitts and Nevis,Aruba,2,0,CONCACAF Nations League
3/27/2023,Saint Lucia,Dominica,3,1,CONCACAF Nations League
3/28/2023,India,Kyrgyzstan,2,0,Tri Nation Tournament
3/28/2023,Nepal,Bhutan,1,1,Tri Nation Tournament
3/28/2023,Eswatini,Cape Verde,0,1,African Cup of Nations qualification
3/28/2023,Togo,Burkina Faso,1,1,African Cup of Nations qualification
3/28/2023,Namibia,Cameroon,2,1,African Cup of Nations qualification
3/28/2023,Malawi,Egypt,0,4,African Cup of Nations qualification
3/28/2023,Tanzania,Uganda,0,1,African Cup of Nations qualification
3/28/2023,Gambia,Mali,1,0,African Cup of Nations qualification
3/28/2023,Comoros,Ivory Coast,0,2,African Cup of Nations qualification
3/28/2023,Mauritania,DR Congo,1,1,African Cup of Nations qualification
3/28/2023,Botswana,Equatorial Guinea,2,3,African Cup of Nations qualification
3/28/2023,Libya,Tunisia,0,1,African Cup of Nations qualification
3/28/2023,Liberia,South Africa,1,2,African Cup of Nations qualification
3/28/2023,Mozambique,Senegal,0,1,African Cup of Nations qualification
3/28/2023,Scotland,Spain,2,0,UEFA Euro qualification
3/28/2023,Georgia,Norway,1,1,UEFA Euro qualification
3/28/2023,Wales,Latvia,1,0,UEFA Euro qualification
3/28/2023,Turkey,Croatia,0,2,UEFA Euro qualification
3/28/2023,Kosovo,Andorra,1,1,UEFA Euro qualification
3/28/2023,Switzerland,Israel,3,0,UEFA Euro qualification
3/28/2023,Romania,Belarus,2,1,UEFA Euro qualification
3/28/2023,Costa Rica,Panama,0,1,CONCACAF Nations League
3/28/2023,Canada,Honduras,4,1,CONCACAF Nations League
3/28/2023,Haiti,Bermuda,3,1,CONCACAF Nations League
3/28/2023,Guyana,Montserrat,0,0,CONCACAF Nations League
3/28/2023,Bonaire,Turks and Caicos Islands,1,2,CONCACAF Nations League
3/28/2023,United States Virgin Islands,Sint Maarten,1,2,CONCACAF Nations League
3/29/2023,Rwanda,Benin,1,1,African Cup of Nations qualification
3/31/2023,Nepal,Laos,2,1,Tri Nation Tournament
6/11/2023,Tajikistan,Turkmenistan,1,1,CAFA Nations Cup
6/11/2023,Uzbekistan,Oman,3,0,CAFA Nations Cup
6/11/2023,Mauritius,Pakistan,3,0,Mauritius Four Nations Cup
6/13/2023,Iran,Afghanistan,6,1,CAFA Nations Cup
6/14/2023,Netherlands,Croatia,2,4,UEFA Nations League
6/14/2023,Oman,Tajikistan,1,1,CAFA Nations Cup
6/14/2023,Uzbekistan,Turkmenistan,2,0,CAFA Nations Cup
6/14/2023,Pakistan,Kenya,0,1,Mauritius Four Nations Cup
6/14/2023,Mauritius,Djibouti,1,3,Mauritius Four Nations Cup
6/14/2023,Guinea-Bissau,São Tomé and Príncipe,1,0,African Cup of Nations qualification
6/14/2023,Guinea,Egypt,1,2,African Cup of Nations qualification
6/14/2023,South Sudan,Gambia,2,3,African Cup of Nations qualification
6/15/2023,Panama,Canada,0,2,CONCACAF Nations League
6/15/2023,United States,Mexico,3,0,CONCACAF Nations League
6/15/2023,Spain,Italy,2,1,UEFA Nations League
6/16/2023,Antigua and Barbuda,Guadeloupe,0,5,Gold Cup qualification
6/16/2023,Martinique,Saint Lucia,3,1,Gold Cup qualification
6/16/2023,Curaçao,Saint Kitts and Nevis,1,1,Gold Cup qualification
6/16/2023,Gibraltar,France,0,3,UEFA Euro qualification
6/16/2023,Greece,Republic of Ireland,2,1,UEFA Euro qualification
6/16/2023,Malta,England,0,4,UEFA Euro qualification
6/16/2023,North Macedonia,Ukraine,2,3,UEFA Euro qualification
6/16/2023,Wales,Armenia,2,4,UEFA Euro qualification
6/16/2023,Latvia,Turkey,2,3,UEFA Euro qualification
6/16/2023,Finland,Slovenia,2,0,UEFA Euro qualification
6/16/2023,Denmark,Northern Ireland,1,0,UEFA Euro qualification
6/16/2023,San Marino,Kazakhstan,0,3,UEFA Euro qualification
6/16/2023,Andorra,Switzerland,1,2,UEFA Euro qualification
6/16/2023,Belarus,Israel,1,2,UEFA Euro qualification
6/16/2023,Kosovo,Romania,0,0,UEFA Euro qualification
6/16/2023,Kyrgyzstan,Iran,1,5,CAFA Nations Cup
6/17/2023,Guyana,Grenada,1,1,Gold Cup qualification
6/17/2023,Suriname,Puerto Rico,0,0,Gold Cup qualification
6/17/2023,French Guiana,Sint Maarten,4,1,Gold Cup qualification
6/17/2023,Norway,Scotland,1,2,UEFA Euro qualification
6/17/2023,Cyprus,Georgia,1,2,UEFA Euro qualification
6/17/2023,Faroe Islands,Czech Republic,0,3,UEFA Euro qualification
6/17/2023,Albania,Moldova,2,0,UEFA Euro qualification
6/17/2023,Azerbaijan,Estonia,1,1,UEFA Euro qualification
6/17/2023,Belgium,Austria,1,1,UEFA Euro qualification
6/17/2023,Lithuania,Bulgaria,1,1,UEFA Euro qualification
6/17/2023,Montenegro,Hungary,0,0,UEFA Euro qualification
6/17/2023,Luxembourg,Liechtenstein,2,0,UEFA Euro qualification
6/17/2023,Iceland,Slovakia,1,2,UEFA Euro qualification
6/17/2023,Portugal,Bosnia and Herzegovina,3,0,UEFA Euro qualification
6/17/2023,Ticino,Raetia,1,8,CONIFA World Football Cup qualification
6/17/2023,Turkmenistan,Oman,0,2,CAFA Nations Cup
6/17/2023,Uzbekistan,Tajikistan,5,1,CAFA Nations Cup
6/17/2023,Djibouti,Pakistan,3,1,Mauritius Four Nations Cup
6/17/2023,Central African Republic,Angola,1,2,African Cup of Nations qualification
6/17/2023,Zambia,Ivory Coast,3,0,African Cup of Nations qualification
6/17/2023,Lesotho,Comoros,0,1,African Cup of Nations qualification
6/17/2023,Equatorial Guinea,Tunisia,1,0,African Cup of Nations qualification
6/17/2023,Botswana,Libya,1,0,African Cup of Nations qualification
6/17/2023,South Africa,Morocco,2,1,African Cup of Nations qualification
6/17/2023,Benin,Senegal,1,1,African Cup of Nations qualification
6/18/2023,Panama,Mexico,0,1,CONCACAF Nations League
6/18/2023,United States,Canada,2,0,CONCACAF Nations League
6/18/2023,Netherlands,Italy,2,3,UEFA Nations League
6/18/2023,Croatia,Spain,0,0,UEFA Nations League
6/18/2023,Mauritius,Kenya,1,0,Mauritius Four Nations Cup
6/18/2023,Sierra Leone,Nigeria,2,3,African Cup of Nations qualification
6/18/2023,Cape Verde,Burkina Faso,3,1,African Cup of Nations qualification
6/18/2023,Eswatini,Togo,0,2,African Cup of Nations qualification
6/18/2023,Madagascar,Ghana,0,0,African Cup of Nations qualification
6/18/2023,Tanzania,Niger,1,0,African Cup of Nations qualification
6/18/2023,Uganda,Algeria,1,2,African Cup of Nations qualification
6/18/2023,Congo,Mali,0,2,African Cup of Nations qualification
6/18/2023,Gabon,DR Congo,0,2,African Cup of Nations qualification
6/18/2023,Rwanda,Mozambique,0,2,African Cup of Nations qualification
6/19/2023,Republic of Ireland,Gibraltar,3,0,UEFA Euro qualification
6/19/2023,France,Greece,1,0,UEFA Euro qualification
6/19/2023,Ukraine,Malta,1,0,UEFA Euro qualification
6/19/2023,England,North Macedonia,7,0,UEFA Euro qualification
6/19/2023,Armenia,Latvia,2,1,UEFA Euro qualification
6/19/2023,Turkey,Wales,2,0,UEFA Euro qualification
6/19/2023,Finland,San Marino,6,0,UEFA Euro qualification
6/19/2023,Northern Ireland,Kazakhstan,0,1,UEFA Euro qualification
6/19/2023,Slovenia,Denmark,1,1,UEFA Euro qualification
6/19/2023,Belarus,Kosovo,2,1,UEFA Euro qualification
6/19/2023,Switzerland,Romania,2,2,UEFA Euro qualification
6/19/2023,Israel,Andorra,2,1,UEFA Euro qualification
6/20/2023,Guadeloupe,Guyana,2,0,Gold Cup qualification
6/20/2023,Martinique,Puerto Rico,2,0,Gold Cup qualification
6/20/2023,Saint Kitts and Nevis,French Guiana,1,1,Gold Cup qualification
6/20/2023,Scotland,Georgia,2,0,UEFA Euro qualification
6/20/2023,Norway,Cyprus,3,1,UEFA Euro qualification
6/20/2023,Faroe Islands,Albania,1,3,UEFA Euro qualification
6/20/2023,Moldova,Poland,3,2,UEFA Euro qualification
6/20/2023,Austria,Sweden,2,0,UEFA Euro qualification
6/20/2023,Estonia,Belgium,0,3,UEFA Euro qualification
6/20/2023,Hungary,Lithuania,2,0,UEFA Euro qualification
6/20/2023,Bulgaria,Serbia,1,1,UEFA Euro qualification
6/20/2023,Iceland,Portugal,0,1,UEFA Euro qualification
6/20/2023,Bosnia and Herzegovina,Luxembourg,0,2,UEFA Euro qualification
6/20/2023,Liechtenstein,Slovakia,0,1,UEFA Euro qualification
6/20/2023,Kyrgyzstan,Oman,0,1,CAFA Nations Cup
6/20/2023,Uzbekistan,Iran,0,1,CAFA Nations Cup
6/20/2023,Burundi,Namibia,3,2,African Cup of Nations qualification
6/20/2023,Ethiopia,Malawi,0,0,African Cup of Nations qualification
6/20/2023,Sudan,Mauritania,0,3,African Cup of Nations qualification
6/21/2023,Kuwait,Nepal,3,1,SAFF Cup
6/21/2023,India,Pakistan,4,0,SAFF Cup
6/22/2023,Lebanon,Bangladesh,2,0,SAFF Cup
6/22/2023,Maldives,Bhutan,2,0,SAFF Cup
6/24/2023,Pakistan,Kuwait,0,4,SAFF Cup
6/24/2023,India,Nepal,2,0,SAFF Cup
6/24/2023,United States,Jamaica,1,1,Gold Cup
6/25/2023,Bangladesh,Maldives,3,1,SAFF Cup
6/25/2023,Bhutan,Lebanon,1,4,SAFF Cup
6/25/2023,Trinidad and Tobago,Saint Kitts and Nevis,3,0,Gold Cup
6/25/2023,Haiti,Qatar,2,1,Gold Cup
6/25/2023,Mexico,Honduras,4,0,Gold Cup
6/26/2023,El Salvador,Martinique,1,2,Gold Cup
6/26/2023,Costa Rica,Panama,1,2,Gold Cup
6/27/2023,Nepal,Pakistan,1,0,SAFF Cup
6/27/2023,India,Kuwait,1,1,SAFF Cup
6/27/2023,Canada,Guadeloupe,2,2,Gold Cup
6/27/2023,Guatemala,Cuba,1,0,Gold Cup
6/28/2023,Lebanon,Maldives,1,0,SAFF Cup
6/28/2023,Bhutan,Bangladesh,1,3,SAFF Cup
6/28/2023,Jamaica,Trinidad and Tobago,4,1,Gold Cup
6/28/2023,United States,Saint Kitts and Nevis,6,0,Gold Cup
6/29/2023,Qatar,Honduras,1,1,Gold Cup
6/29/2023,Haiti,Mexico,1,3,Gold Cup
6/30/2023,Székely Land,Chameria,3,2,CONIFA World Football Cup qualification
6/30/2023,Martinique,Panama,1,2,Gold Cup
6/30/2023,El Salvador,Costa Rica,0,0,Gold Cup
7/1/2023,Chameria,Two Sicilies,3,1,CONIFA World Football Cup qualification
7/1/2023,India,Lebanon,0,0,SAFF Cup
7/1/2023,Kuwait,Bangladesh,1,0,SAFF Cup
7/1/2023,Cuba,Guadeloupe,1,4,Gold Cup
7/1/2023,Guatemala,Canada,0,0,Gold Cup
7/2/2023,Székely Land,Two Sicilies,7,0,CONIFA World Football Cup qualification
7/2/2023,United States,Trinidad and Tobago,6,0,Gold Cup
7/2/2023,Jamaica,Saint Kitts and Nevis,5,0,Gold Cup
7/2/2023,Honduras,Haiti,2,1,Gold Cup
7/2/2023,Mexico,Qatar,0,1,Gold Cup
7/4/2023,India,Kuwait,1,1,SAFF Cup
7/4/2023,Costa Rica,Martinique,6,4,Gold Cup
7/4/2023,Panama,El Salvador,2,2,Gold Cup
7/4/2023,Guadeloupe,Guatemala,2,3,Gold Cup
7/4/2023,Canada,Cuba,4,2,Gold Cup
7/5/2023,Eswatini,Botswana,0,1,COSAFA Cup
7/5/2023,South Africa,Namibia,1,1,COSAFA Cup
7/6/2023,Seychelles,Comoros,0,3,COSAFA Cup
7/6/2023,Zambia,Malawi,0,1,COSAFA Cup
7/7/2023,Mauritius,Lesotho,0,2,COSAFA Cup
7/7/2023,Mozambique,Angola,1,1,COSAFA Cup
7/8/2023,Panama,Qatar,4,0,Gold Cup
7/8/2023,Mexico,Costa Rica,2,0,Gold Cup
7/8/2023,South Africa,Botswana,2,1,COSAFA Cup
7/8/2023,Namibia,Eswatini,1,2,COSAFA Cup
7/9/2023,Guatemala,Jamaica,0,1,Gold Cup
7/9/2023,United States,Canada,2,2,Gold Cup
7/9/2023,Åland Islands,Isle of Wight,0,2,Island Games
7/9/2023,Guernsey,Western Isles,1,0,Island Games
7/9/2023,Isle of Man,Falkland Islands,3,0,Island Games
7/9/2023,Ynys Môn,Shetland,2,0,Island Games
7/9/2023,Orkney,Greenland,2,2,Island Games
7/9/2023,Jersey,Gozo,1,0,Island Games
7/9/2023,Menorca,Saint Helena,5,0,Island Games
7/9/2023,Zambia,Comoros,2,1,COSAFA Cup
7/9/2023,Malawi,Seychelles,2,0,COSAFA Cup
7/10/2023,Western Isles,Isle of Wight,0,1,Island Games
7/10/2023,Guernsey,Åland Islands,4,1,Island Games
7/10/2023,Falkland Islands,Ynys Môn,1,5,Island Games
7/10/2023,Shetland,Isle of Man,3,2,Island Games
7/10/2023,Greenland,Frøya,2,0,Island Games
7/10/2023,Gozo,Saint Helena,3,0,Island Games
7/10/2023,Jersey,Menorca,4,0,Island Games
7/10/2023,Angola,Mauritius,0,1,COSAFA Cup
7/10/2023,Mozambique,Lesotho,0,1,COSAFA Cup
7/11/2023,Guernsey,Isle of Wight,1,2,Island Games
7/11/2023,Åland Islands,Western Isles,0,2,Island Games
7/11/2023,Falkland Islands,Shetland,1,4,Island Games
7/11/2023,Isle of Man,Ynys Môn,1,2,Island Games
7/11/2023,Frøya,Orkney,2,3,Island Games
7/11/2023,Menorca,Gozo,0,1,Island Games
7/11/2023,Saint Helena,Jersey,0,5,Island Games
7/11/2023,Namibia,Botswana,0,0,COSAFA Cup
7/11/2023,South Africa,Eswatini,2,1,COSAFA Cup
7/11/2023,Malawi,Comoros,2,0,COSAFA Cup
7/11/2023,Seychelles,Zambia,2,4,COSAFA Cup
7/12/2023,United States,Panama,1,1,Gold Cup
7/12/2023,Jamaica,Mexico,0,3,Gold Cup
7/12/2023,Angola,Lesotho,4,2,COSAFA Cup
7/12/2023,Mauritius,Mozambique,0,1,COSAFA Cup
7/13/2023,Frøya,Saint Helena,4,2,Island Games
7/13/2023,Åland Islands,Falkland Islands,1,1,Island Games
7/13/2023,Western Isles,Menorca,2,1,Island Games
7/13/2023,Orkney,Isle of Man,0,1,Island Games
7/13/2023,Shetland,Greenland,5,1,Island Games
7/13/2023,Guernsey,Gozo,1,0,Island Games
7/13/2023,Isle of Wight,Jersey,2,3,Island Games
7/14/2023,Ynys Môn,Jersey,2,5,Island Games
7/14/2023,Malawi,Lesotho,1,1,COSAFA Cup
7/14/2023,South Africa,Zambia,1,2,COSAFA Cup
7/16/2023,Kernow,Sápmi,2,1,CONIFA World Football Cup qualification
7/16/2023,Mexico,Panama,1,0,Gold Cup
7/16/2023,South Africa,Malawi,0,0,COSAFA Cup
7/16/2023,Lesotho,Zambia,0,1,COSAFA Cup
8/4/2023,Tamil Eelam,Hmong,3,0,CONIFA Asia Cup
8/5/2023,Hmong,Tibet,5,4,CONIFA Asia Cup
8/6/2023,Tibet,Tamil Eelam,1,3,CONIFA Asia Cup
8/8/2023,Tamil Eelam,Hmong,3,1,CONIFA Asia Cup
8/24/2023,Comoros,Mayotte,0,0,Indian Ocean Island Games
8/24/2023,Madagascar,Seychelles,1,0,Indian Ocean Island Games
8/26/2023,Réunion,Mayotte,0,0,Indian Ocean Island Games
8/26/2023,Madagascar,Mauritius,1,1,Indian Ocean Island Games
8/28/2023,Comoros,Réunion,1,1,Indian Ocean Island Games
8/28/2023,Mauritius,Seychelles,1,0,Indian Ocean Island Games
8/31/2023,Madagascar,Comoros,4,2,Indian Ocean Island Games
8/31/2023,Réunion,Mauritius,2,1,Indian Ocean Island Games
9/2/2023,Comoros,Mauritius,0,2,Indian Ocean Island Games
9/2/2023,Madagascar,Réunion,1,0,Indian Ocean Island Games
9/4/2023,Mozambique,Benin,3,2,African Cup of Nations qualification
9/6/2023,Libya,Equatorial Guinea,1,1,African Cup of Nations qualification
9/7/2023,Trinidad and Tobago,Curaçao,1,0,CONCACAF Nations League
9/7/2023,Panama,Martinique,3,0,CONCACAF Nations League
9/7/2023,Guatemala,El Salvador,2,0,CONCACAF Nations League
9/7/2023,Sint Maarten,Saint Lucia,1,5,CONCACAF Nations League
9/7/2023,Saint Kitts and Nevis,Guadeloupe,1,2,CONCACAF Nations League
9/7/2023,Anguilla,Saint Martin,0,6,CONCACAF Nations League
9/7/2023,United States Virgin Islands,Cayman Islands,2,2,CONCACAF Nations League
9/7/2023,Colombia,Venezuela,1,0,FIFA World Cup qualification
9/7/2023,Paraguay,Peru,0,0,FIFA World Cup qualification
9/7/2023,Argentina,Ecuador,1,0,FIFA World Cup qualification
9/7/2023,Ghana,Central African Republic,2,1,African Cup of Nations qualification
9/7/2023,Angola,Madagascar,0,0,African Cup of Nations qualification
9/7/2023,Algeria,Tanzania,0,0,African Cup of Nations qualification
9/7/2023,Niger,Uganda,0,2,African Cup of Nations qualification
9/7/2023,Tunisia,Botswana,3,0,African Cup of Nations qualification
9/7/2023,France,Republic of Ireland,2,0,UEFA Euro qualification
9/7/2023,Netherlands,Greece,3,0,UEFA Euro qualification
9/7/2023,Czech Republic,Albania,1,1,UEFA Euro qualification
9/7/2023,Poland,Faroe Islands,2,0,UEFA Euro qualification
9/7/2023,Serbia,Hungary,1,2,UEFA Euro qualification
9/7/2023,Lithuania,Montenegro,2,2,UEFA Euro qualification
9/7/2023,Kazakhstan,Finland,0,1,UEFA Euro qualification
9/7/2023,Denmark,San Marino,4,0,UEFA Euro qualification
9/7/2023,Slovenia,Northern Ireland,4,2,UEFA Euro qualification
9/7/2023,Iraq,India,2,2,King's Cup
9/7/2023,Thailand,Lebanon,2,1,King's Cup
9/8/2023,Haiti,Cuba,0,0,CONCACAF Nations League
9/8/2023,Grenada,Suriname,1,1,CONCACAF Nations League
9/8/2023,Jamaica,Honduras,1,0,CONCACAF Nations League
9/8/2023,Barbados,Montserrat,2,3,CONCACAF Nations League
9/8/2023,Dominican Republic,Nicaragua,0,2,CONCACAF Nations League
9/8/2023,Bermuda,French Guiana,0,0,CONCACAF Nations League
9/8/2023,Belize,Saint Vincent and the Grenadines,1,2,CONCACAF Nations League
9/8/2023,Uruguay,Chile,3,1,FIFA World Cup qualification
9/8/2023,Brazil,Bolivia,5,1,FIFA World Cup qualification
9/8/2023,Burkina Faso,Eswatini,0,0,African Cup of Nations qualification
9/8/2023,Egypt,Ethiopia,1,0,African Cup of Nations qualification
9/8/2023,Mali,South Sudan,4,0,African Cup of Nations qualification
9/8/2023,Georgia,Spain,1,7,UEFA Euro qualification
9/8/2023,Cyprus,Scotland,0,3,UEFA Euro qualification
